,0
0,1010887.9445324155
1,1011782.6960980294
2,1011382.6328927263
3,1012378.1246200765
4,1012608.4159894321
5,1011640.4514995494
6,1012285.4184405921
7,1012533.2302916518
8,1011537.5930668477
9,1012144.2036897043
10,1011847.9788051517
11,1011668.7430050551
12,1012241.8196900137
13,1011884.2807821042
14,1012981.4191497881
15,1013516.282729086
16,1012582.6507218615
17,1012371.3122631306
18,1011210.5564495057
19,1010847.8619186196
20,1011944.0510637932
